Species,Site,Point,Count
species01,Site_1,point01,37
species01,Site_1,point02,37
species01,Site_1,point03,6
species01,Site_1,point04,16
species01,Site_2,point01,8
species01,Site_2,point02,44
species01,Site_2,point03,11
species02,Site_1,point01,33
species02,Site_1,point02,44
species02,Site_1,point03,3
species02,Site_1,point04,4
species02,Site_2,point01,27
species02,Site_2,point02,30
species02,Site_2,point03,17
species03,Site_1,point01,34
species03,Site_1,point02,23
species03,Site_1,point03,8
species03,Site_1,point04,3
species03,Site_2,point01,28
species03,Site_2,point02,48
species03,Site_2,point03,13
